2020-05-28;19:24:58;0;0;1;0;0
2020-05-28;20:40:38;0;0;1;0;0
2020-05-28;20:41:27;0;0;1;0;0
2020-05-28;20:43:22;0;0;1;0;0
2020-05-28;20:44:20;0;0;1;0;0
2020-05-28;20:47:32;0;0;1;0;0
2020-05-28;21:32:02;0;0;1;0;0
2020-05-28;21:32:41;2;96;98;0;0
2020-05-28;21:32:41;2;112;114;0;0
2020-05-28;21:32:41;2;80;82;0;0
2020-05-28;21:32:43;2;64;69;0;0
2020-05-28;21:40:57;0;0;1;0;0
2020-05-28;21:41:16;0;0;1;0;0
2020-05-28;21:41:27;1;48;50;0;0
2020-05-28;21:41:27;1;16;20;0;0
2020-05-28;21:41:27;1;32;35;0;0
2020-05-28;21:41:32;1;48;50;0;0
2020-05-28;21:41:32;1;16;20;0;0
2020-05-28;21:41:32;1;16;20;0;0
2020-05-28;21:41:38;1;48;50;0;0
2020-05-28;21:41:38;1;16;20;0;0
2020-05-28;21:41:38;1;32;35;0;0
2020-05-28;21:41:43;1;48;50;0;0
2020-05-28;21:41:43;1;16;20;0;0
2020-05-28;21:41:43;1;16;20;0;0
2020-05-28;21:42:38;0;0;1;0;0
2020-05-28;21:43:03;2;96;98;0;0
2020-05-28;21:43:03;2;112;114;0;0
2020-05-28;21:43:03;2;80;82;0;0
2020-05-28;21:43:05;2;64;69;0;0
2020-05-28;22:23:29;0;0;1;0;0
2020-05-28;22:23:32;-127.00-127.00   0.00   0.00   0.00   0.00   0.00
2020-05-28;22:24:33;-127.00-127.00   0.00   0.00   0.00   0.00   0.00
2020-05-28;22:25:33;-127.00-127.00   0.00   0.00   0.00   0.00   0.00
2020-05-28;22:26:34;-127.00-127.00   0.00   0.00   0.00   0.00   0.00
2020-05-28;22:27:34;-127.00-127.00   0.00   0.00   0.00   0.00   0.00
2020-05-28;22:28:34;-127.00-127.00   0.00   0.00   0.00   0.00   0.00
2020-05-28;22:29:35;-127.00-127.00   0.00   0.00   0.00   0.00   0.00
2020-05-28;22:30:35;-127.00-127.00   0.00   0.00   0.00   0.00   0.00
