2020-05-29;07:58:25;0;0;1;0;0;МикроКонтроллер;МикроКонтроллер;Вентилятор
2020-05-29;20:18:26;0;0;1;0;0;МикроКонтроллер;МикроКонтроллер;Вентилятор
2020-05-29;23:12:50;0;0;1;0;0;МикроКонтроллер;МикроКонтроллер;Вентилятор
2020-05-29;23:13:03;0;0;1;0;0;МикроКонтроллер;МикроКонтроллер;Вентилятор
2020-05-29;23:45:23;0;0;1;0;0;МикроКонтроллер;МикроКонтроллер;Вентилятор
2020-05-29;23:46:20;0;0;1;0;0;МикроКонтроллер;МикроКонтроллер;Вентилятор
2020-05-29;23:46:32;2;96;98;0;0;Боковое окно
2020-05-29;23:46:36;0;0;1;0;0;МикроКонтроллер;МикроКонтроллер;Вентилятор
2020-05-29;23:47:46;0;0;1;0;0;МикроКонтроллер;МикроКонтроллер;Вентилятор
2020-05-29;23:48:05;2;96;98;0;0;Боковое окно
2020-05-29;23:48:05;2;112;114;0;0;Боковое окно
2020-05-29;23:48:05;2;80;82;0;0;Боковое окно
2020-05-29;23:48:07;2;64;69;0;0;Боковое окно
2020-05-29;23:48:21;2;112;114;0;0;Боковое окно
2020-05-29;23:48:21;2;80;81;0;0;Боковое окно
2020-05-29;23:48:22;2;64;68;0;0;Боковое окно
2020-05-29;23:48:29;2;112;114;0;0;Боковое окно
2020-05-29;23:48:29;2;80;82;0;0;Боковое окно
2020-05-29;23:48:31;2;64;69;0;0;Боковое окно
